Priority,Subcatagory,Priority Issues,Group name,Workshop Date
Health,Nutrition,better school lunches,Development Class,05/10/2010 07:00:00 AM +0000
Health,Nutrition ,"Healthy living and nutrition; sustainable, care for the environment; reduce, reuse, recycle.",6,03/01/2010 08:00:00 AM +0000
Health,Nutrition ,Improved and more comprehensive nutrition (school lunch),4,03/01/2010 08:00:00 AM +0000
Health,Nutrition,"lack of access to healthy foods, expensive to eat well",Seattle Central Community College,05/06/2010 07:00:00 AM +0000
Health,Nutrition,"More nutrition in schools, prisons, and treatment centers",Homeless Single Mothers,04/06/2010 07:00:00 AM +0000
Health,Nutrition,More/better sandwiches,The Vera Project -- Group C,04/08/2010 07:00:00 AM +0000
Health,Nutrition,not enough attention and education towards health/nutrition in schools/ kid's diets,The Vera Project -- Group B,04/08/2010 07:00:00 AM +0000
Health,Nutrition,not enough food/healthy options in school lunch programs,Hope for Youth Group B,05/03/2010 07:00:00 AM +0000
Health,Nutrition,Nutrition in schools,5,04/08/2010 07:00:00 AM +0000
Health,Nutrition ,"Poor health of children (hunger, mental health, etc.)",5,03/01/2010 08:00:00 AM +0000
Health,School Based Health,"1. Educational options for students learning at different levels, health care at school.",Web,
Health,School Based Health,2.  To fund current and new school based health centers through the families and educations levy.  The school based health centers are a success story and help our kids succeed.,Web,
Health,School Based Health,Budget challenges- funding for Teen Health Centers,11,03/22/2010 07:00:00 AM +0000
Health,School Based Health,"Children need to be ready to learn and access to quality education- good health care helps ensure their readiness.  Yet for many families the school system has become their health care and family support system/resource.  We need continued funding for school nurses, family support workers and school based health centers.",Web,
Health,School Based Health,Health and Wellness support in schools,Web,
Health,School Based Health,"Health care services for youth are incredibly important, and I would like to see continued funding of these efforts (School Based Health Centers, school nurses, etc).",Web,
Health,School Based Health,Maintain teen health centers,17,03/15/2010 07:00:00 AM +0000
Health,School Based Health,More school nurses (restore funding),1,03/22/2010 07:00:00 AM +0000
Health,School Based Health,"School-based clinics K-12 (physical, mental, emotional health)",1,03/08/2010 08:00:00 AM +0000
Health,Teen Health,To provide a health program (including birth control access) to cover all aspects of teen health.,Web,
Health,Teen Pregnancy,Latina teen pregnancy,El Centro de la Raza,04/01/2010 07:00:00 AM +0000
Health,Teen Pregnancy,sexual education to avoid teen pregnancy,El Centro de la Raza parent group,04/07/2010 07:00:00 AM +0000
Health,Teen Pregnancy,Teen pregnancy,3,04/08/2010 07:00:00 AM +0000
Health,Teen Pregnancy,Teen Pregnancy,4,04/08/2010 07:00:00 AM +0000
Health,Teen Pregnancy,teen pregnancy ,Ethiopian Youth Media Group A,05/03/2010 07:00:00 AM +0000
Health,Teen Pregnancy,teen pregnancy ,Ethiopian Youth Media group B,05/03/2010 07:00:00 AM +0000
Health,Teen Pregnancy,Teen pregnancy.,East African Girl's Circle,05/12/2010 07:00:00 AM +0000
Health,Wellness,"2) Lack of public fitness centers in South Seattle (gym, exercise centers)",Filipino community,04/18/2010 07:00:00 AM +0000
Health,Wellness,"wellness, nutrition, sports and team activities",Seattle Commission for People with Disabilities-- Group B,05/12/2010 07:00:00 AM +0000
Neighborhood Safety,Accountability,More accountability/transparency for policy makers & law enforcement,20,03/22/2010 07:00:00 AM +0000
Neighborhood Safety,Accountability,"more police accountability, stop police abuse on the homeless",Youth Care Group A,04/20/2010 07:00:00 AM +0000
Neighborhood Safety,Accountability,police accountability,Youth Undoing Institutional Racism,04/13/2010 07:00:00 AM +0000
Neighborhood Safety,Accountability,police accountability and brutality,Aki Kurose Students- Van Asselt Community,04/22/2010 07:00:00 AM +0000
Neighborhood Safety,Accountability,Police brutality,Students Against Violence Everywhere Group A,04/15/2010 07:00:00 AM +0000
Neighborhood Safety,Accountability,Police brutality,Students Against Violence Everywhere Group C,04/15/2010 07:00:00 AM +0000
Neighborhood Safety,Accountability,"Police oppression / harassment, gentrification",6,02/22/2010 08:00:00 AM +0000
Neighborhood Safety,Accountability,Police treatment/ stereotyping by police,Hope for Youth Group C,05/03/2010 07:00:00 AM +0000
Neighborhood Safety,Accountability,Youth targeted by police--specifically youth of color and queer youth,Camp Ten Trees,05/04/2010 07:00:00 AM +0000
Neighborhood Safety,Bullying,"Safety at home and in school; anti-bullying education, enforcement.",18,03/01/2010 08:00:00 AM +0000
Neighborhood Safety,Crime Prevention,2. Rising crime is a problem in my area -- I recommend promoting meetings with SPD Crime Prevention Counselors.,Web,
Neighborhood Safety,Crime Prevention,Provide blockwatch in neighborhoods,Vietnamese Speaking Community,04/22/2010 07:00:00 AM +0000
Neighborhood Safety,Criminalizing Youth Behavior,Criminalizing kids’ behaviors; stop school-to-prison pipeline; whole community system change and support.,,02/22/2010 08:00:00 AM +0000
Neighborhood Safety,Drugs and Schools,Drug use / sale of drugs around schools,7,02/22/2010 08:00:00 AM +0000
Neighborhood Safety,Family and Youth Violence,Social & Human Services:  Eliminate family violence; extend Seattle Youth Violence Prevention Initiative.,1,03/01/2010 08:00:00 AM +0000
Neighborhood Safety,Family Support,"Network of basic, broad support for families, parents- build on what's already working and lower youth violence",3,03/15/2010 07:00:00 AM +0000
Neighborhood Safety,Funding/Resources,We need more beat cops.,Belltown Community Group C,04/28/2010 07:00:00 AM +0000
Neighborhood Safety,Gangs,Drugs and gangs prevent youth from getting ahead down a positive path,Hope for Youth Group E,05/03/2010 07:00:00 AM +0000
Neighborhood Safety,Gangs,drugs/gang issues,El Centro de la Raza parent group,04/07/2010 07:00:00 AM +0000
Neighborhood Safety,Gangs,"Eliminate ""gang contracts"" from schools and prisons",Youth Undoing Institutional Racism Group B,04/13/2010 07:00:00 AM +0000
Neighborhood Safety,Gangs,Gang and public safety,Aki Kurose Students- Van Asselt Community,04/22/2010 07:00:00 AM +0000
Neighborhood Safety,Gangs,Gang prevention and resources for truancy.,16,03/08/2010 08:00:00 AM +0000
Neighborhood Safety,Gangs,Gang problems/ Lack of intervention,View Ridge Community Council Group A,04/20/2010 07:00:00 AM +0000
Neighborhood Safety,Gangs,Gang Violence,10,04/08/2010 07:00:00 AM +0000
Neighborhood Safety,Gangs,Gang Violence,12,03/15/2010 07:00:00 AM +0000
Neighborhood Safety,Gangs,Gang violence,Students Against Violence Everywhere Group C,04/15/2010 07:00:00 AM +0000
Neighborhood Safety,Gangs,"Gangsters, drug users, bad children are a lot in Seattle.",Khmer community,03/20/2010 07:00:00 AM +0000
Neighborhood Safety,Gangs,Too many gangs in the neighborhoods,18,03/15/2010 07:00:00 AM +0000
Neighborhood Safety,Gangs,Youth/gang violence,24,04/08/2010 07:00:00 AM +0000
Neighborhood Safety,Homicide,Killing,12,04/08/2010 07:00:00 AM +0000
Neighborhood Safety,Media,Media,Students Against Violence Everywhere Group B,04/15/2010 07:00:00 AM +0000
Neighborhood Safety,Police Relations,Bring back Native SPSD tribal liaison to be education advocate and hire NA advocate to work with parents facing IEPS etc who need support in the system,United Indians Organization Group A,04/30/2010 07:00:00 AM +0000
Neighborhood Safety,Police Relations,Bring back Native SPSD tribal liaison to be education advocate and hire NA advocate to work with parents facing IEPS etc who need support in the system,United Indians Organization Group B,04/30/2010 07:00:00 AM +0000
Neighborhood Safety,Police Relations,not enough police presence in communities/police discrimination against Latinos,El Centro de la Raza,04/01/2010 07:00:00 AM +0000
Neighborhood Safety,Police Relations,Youth/police relations; crooked cops,17,04/08/2010 07:00:00 AM +0000
Neighborhood Safety,Rehabilitation,emphasis on incarceration over rehabilitation citing high recidivism rate,Young Democrats,03/30/2010 07:00:00 AM +0000
Neighborhood Safety,Rehabilitation,Second- or third-chance programs for the youth transitional programs.,4,02/22/2010 08:00:00 AM +0000
Neighborhood Safety,Risk Behavior,"High-risk behaviors among youth (alcohol & drug use/sales, gang involvement, violence)",20,03/15/2010 07:00:00 AM +0000
Neighborhood Safety,Risk Behavior,Lack of parental support and education parents on how to promote & behaviors and deal with high risk behaviors,20,03/15/2010 07:00:00 AM +0000
